iter	MultiClass
0	1.015140373
1	0.9386873201
2	0.8716436932
3	0.8161341912
4	0.7750831326
5	0.7335365045
6	0.6970306137
7	0.6635376634
8	0.6368183216
9	0.6126046146
10	0.5893015457
11	0.5682674116
12	0.546959217
13	0.5280657913
14	0.517407169
15	0.5003566722
16	0.4818334541
17	0.4736471415
18	0.459048396
19	0.4477179413
20	0.4376098081
21	0.4284320768
22	0.4150145894
23	0.4075099445
24	0.3987055758
25	0.3908941249
26	0.3823061314
27	0.3763054752
28	0.3696482609
29	0.3662768598
30	0.3618748894
31	0.3571759227
32	0.3526764161
33	0.3482228812
34	0.3425917266
35	0.3384668869
36	0.334483168
37	0.3293594219
38	0.326812683
39	0.3230043097
40	0.3205197601
41	0.3170102028
42	0.3126061305
43	0.3089851482
44	0.3042523199
45	0.3009874614
46	0.2976732185
47	0.2939438331
48	0.2912173416
49	0.2888226458
50	0.2858527132
51	0.2827889584
52	0.2801334392
53	0.2790997047
54	0.2769362825
55	0.274253245
56	0.2718811268
57	0.270588594
58	0.2693985457
59	0.2666927879
60	0.2637686605
61	0.2604168582
62	0.2587206631
63	0.2557240032
64	0.2529290483
65	0.2518643291
66	0.2496225522
67	0.247173109
68	0.2458124209
69	0.2421280878
70	0.2404783993
71	0.2386182055
72	0.2357487887
73	0.2334159719
74	0.231413668
75	0.2288821952
76	0.2271901683
77	0.2263127948
78	0.2251188731
79	0.223818864
80	0.2217075431
81	0.2189878778
82	0.2175317829
83	0.2152112352
84	0.21299528
85	0.2116019153
86	0.2093779105
87	0.2079337973
88	0.2057018284
89	0.2044126378
90	0.2028005239
91	0.2008854977
92	0.1993547106
93	0.1976906535
94	0.196699008
95	0.1955405819
96	0.1931910827
97	0.1920564865
98	0.1912418591
99	0.1904467617
100	0.1895793183
101	0.1885138195
102	0.1879575348
103	0.187007316
104	0.1860548467
105	0.1845163794
106	0.1837903732
107	0.1831082124
108	0.1822761443
109	0.1814624421
110	0.1805790544
111	0.1791091587
112	0.1777875905
113	0.176590743
114	0.1761341503
115	0.1745352073
116	0.1730565942
117	0.1717848022
118	0.1707291068
119	0.1699408061
120	0.1693886022
121	0.1677802116
122	0.1665867592
123	0.1657937247
124	0.1647076052
125	0.1639058816
126	0.1629414812
127	0.16227635
128	0.1604768257
129	0.1597071423
130	0.1588433155
131	0.1578720003
132	0.1567442962
133	0.15546237
134	0.1539391557
135	0.1531904522
136	0.1526664704
137	0.1511648531
138	0.1498485968
139	0.1484274938
140	0.1475871394
141	0.1469587116
142	0.1459957852
143	0.1452239329
144	0.1440637727
145	0.1427162689
146	0.1416912059
147	0.1410960445
148	0.1401928395
149	0.1396728909
150	0.1389599648
151	0.1378717385
152	0.1373614275
153	0.1364121189
154	0.136147829
155	0.135254322
156	0.1347439261
157	0.133840054
158	0.1333047689
159	0.1322620616
160	0.1310979283
161	0.1304370807
162	0.1299908177
163	0.1294474736
164	0.1288686861
165	0.1283351227
166	0.1277894006
167	0.1272991685
168	0.1266768764
169	0.1259322614
170	0.1252801266
171	0.1249003901
172	0.1239587737
173	0.1236236107
174	0.1230383666
175	0.1220830417
176	0.1212134703
177	0.1201572722
178	0.1194738748
179	0.1191420778
180	0.118395715
181	0.1175446813
182	0.1170985019
183	0.1162800516
184	0.1156889534
185	0.1147837278
186	0.114033965
187	0.1134962211
188	0.1125116348
189	0.1120249698
190	0.1116799117
191	0.1113400663
192	0.1108283029
193	0.1103018488
194	0.1098914188
195	0.1094497459
196	0.1090314703
197	0.1087832101
198	0.1083936744
199	0.1081090154
