iter	Passed	Remaining
0	172	34229
1	179	17748
2	184	12125
3	188	9260
4	192	7519
5	196	6350
6	199	5508
7	202	4868
8	206	4372
9	208	3966
10	211	3630
11	213	3350
12	216	3119
13	219	2917
14	222	2741
15	224	2581
16	226	2439
17	228	2312
18	230	2199
19	233	2098
20	236	2012
21	238	1928
22	240	1851
23	242	1780
24	244	1714
25	247	1653
26	249	1599
27	252	1548
28	254	1499
29	256	1454
30	258	1410
31	260	1369
32	263	1331
33	265	1296
34	267	1263
35	270	1230
36	272	1200
37	274	1170
38	276	1142
39	279	1116
40	282	1095
41	285	1072
42	287	1048
43	289	1026
44	291	1005
45	294	985
46	297	967
47	299	948
48	302	930
49	304	913
50	306	896
51	309	880
52	311	865
53	314	850
54	316	835
55	319	821
56	321	806
57	324	793
58	326	780
59	329	768
60	331	755
61	334	743
62	336	731
63	338	720
64	342	710
65	345	700
66	347	689
67	350	681
68	353	671
69	356	662
70	359	652
71	361	643
72	364	633
73	366	624
74	369	615
75	371	606
76	375	599
77	377	591
78	380	582
79	382	574
80	385	566
81	388	558
82	390	550
83	393	543
84	395	535
85	399	529
86	402	522
87	406	517
88	408	510
89	411	502
90	414	496
91	416	489
92	419	482
93	421	475
94	424	468
95	426	462
96	429	456
97	432	449
98	434	443
99	437	437
100	439	430
101	442	424
102	444	418
103	447	412
104	450	407
105	453	401
106	455	396
107	458	390
108	460	384
109	463	378
110	465	373
111	467	367
112	470	362
113	473	357
114	475	351
115	478	346
116	480	341
117	483	335
118	487	331
119	490	326
120	493	322
121	496	317
122	498	312
123	500	307
124	503	302
125	506	297
126	508	292
127	511	287
128	513	282
129	516	278
130	519	273
131	522	269
132	525	264
133	527	259
134	530	255
135	532	250
136	535	246
137	537	241
138	541	237
139	544	233
140	547	229
141	549	224
142	552	220
143	555	215
144	557	211
145	559	207
146	562	202
147	564	198
148	567	194
149	570	190
150	573	186
151	576	181
152	578	177
153	581	173
154	583	169
155	586	165
156	588	161
157	591	157
158	593	153
159	596	149
160	599	145
161	602	141
162	606	137
163	609	133
164	611	129
165	614	125
166	616	121
167	619	117
168	621	114
169	624	110
170	626	106
171	629	102
172	631	98
173	634	94
174	636	90
175	639	87
176	641	83
177	644	79
178	649	76
179	654	72
180	659	69
181	663	65
182	666	61
183	669	58
184	672	54
185	674	50
186	677	47
187	680	43
188	683	39
189	685	36
190	688	32
191	691	28
192	693	25
193	696	21
194	698	17
195	701	14
196	703	10
197	706	7
198	709	3
199	711	0
